FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE_AGGR,Aggregato,NONFIN_ASSETS,Attività non finanziarie,VALUATION,Valutazione,ADJUSTMENT,Correzione,EDITION,Edizione,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2009-Q1,88794,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2009-Q2,88373.4,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2009-Q3,86142.1,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2009-Q4,88374.4,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2010-Q1,86823.5,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2010-Q2,88808.8,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2010-Q3,87319.9,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2010-Q4,88303.2,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2011-Q1,88391.6,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2011-Q2,87153.1,,
